Symbol,Country,Company
LTTS.NS,India,L&T Technology Services Limited
MRF.NS,India,MRF Limited
TATACOMM.NS,India,Tata Communications Limited
NYKAA.NS,India,FSN E-Commerce Ventures Limited
CONCOR.NS,India,Container Corporation of India Limited
PERSISTENT.NS,India,Persistent Systems Limited
PATANJALI.NS,India,Patanjali Foods Limited
IRFC.NS,India,Indian Railway Finance Corporation Limited
LINDEINDIA.NS,India,Linde India Limited
IDFCFIRSTB.NS,India,IDFC First Bank Limited
PETRONET.NS,India,Petronet LNG Limited
SOLARINDS.NS,India,Solar Industries India Limited
SAIL.NS,India,Steel Authority of India Limited
MPHASIS.NS,India,MphasiS Limited
HINDPETRO.NS,India,Hindustan Petroleum Corporation Limited
APLAPOLLO.NS,India,APL Apollo Tubes Limited
FLUOROCHEM.NS,India,Gujarat Fluorochemicals Limited
NMDC.NS,India,NMDC Limited
HONAUT.NS,India,Honeywell Automation India Limited
SUPREMEIND.NS,India,Supreme Industries Limited
GUJGASLTD.NS,India,Gujarat Gas Limited
BANDHANBNK.NS,India,Bandhan Bank Limited
ACC.NS,India,ACC Limited
OBEROIRLTY.NS,India,Oberoi Realty Limited
BANKINDIA.NS,India,Bank of India
RECLTD.NS,India,REC Limited
AUROPHARMA.NS,India,Aurobindo Pharma Limited
STARHEALTH.NS,India,Star Health and Allied Insurance Company Limited
IGL.NS,India,Indraprastha Gas Limited
LUPIN.NS,India,Lupin Limited
UCOBANK.NS,India,UCO Bank
JUBLFOOD.NS,India,Jubilant Foodworks Limited
POLICYBZR.NS,India,PB Fintech Limited
GODREJPROP.NS,India,Godrej Properties Limited
M&MFIN.NS,India,Mahindra & Mahindra Financial Services Limited
IDEA.NS,India,Vodafone Idea Limited
OFSS.NS,India,Oracle Financial Services Software Limited
FEDERALBNK.NS,India,The Federal Bank  Limited
MANYAVAR.NS,India,Vedant Fashions Limited
UNOMINDA.NS,India,UNO Minda Limited
AIAENG.NS,India,AIA Engineering Limited
THERMAX.NS,India,Thermax Limited
OIL.NS,India,Oil India Limited
VOLTAS.NS,India,Voltas Limited
3MINDIA.NS,India,3M India Limited
COROMANDEL.NS,India,Coromandel International Limited
SUNDARMFIN.NS,India,Sundaram Finance Limited
KPITTECH.NS,India,KPIT Technologies Limited
DEEPAKNTR.NS,India,Deepak Nitrite Limited
ESCORTS.NS,India,Escorts Kubota Limited
BIOCON.NS,India,Biocon Limited
TATACHEM.NS,India,Tata Chemicals Limited
TORNTPOWER.NS,India,Torrent Power Limited
GMRINFRA.NS,India,GMR Airports Infrastructure Limited
BHEL.NS,India,Bharat Heavy Electricals Limited
SONACOMS.NS,India,Sona BLW Precision Forgings Limited
DELHIVERY.NS,India,Delhivery Limited
SYNGENE.NS,India,Syngene International Limited
CRISIL.NS,India,CRISIL Limited
GICRE.NS,India,General Insurance Corporation of India
COFORGE.NS,India,Coforge Limited
PHOENIXLTD.NS,India,The Phoenix Mills Limited
JKCEMENT.NS,India,JK Cement Limited
POONAWALLA.NS,India,Poonawalla Fincorp Limited
GLAXO.NS,India,GlaxoSmithKline Pharmaceuticals Limited
MFSL.NS,India,Max Financial Services Limited
METROBRAND.NS,India,Metro Brands Limited
MSUMI.NS,India,Motherson Sumi Wiring India Limited
SUMICHEM.NS,India,Sumitomo Chemical India Limited
